id,Age group(years),Aust-born males(%),OS-born males(%),Aust-born females(%),OS-born females(%)
1,0,2.8,0.1,2.7,0.1
2,5,2.8,0.3,2.7,0.3
3,10,2.8,0.4,2.6,0.4
4,15,2.6,0.6,2.4,0.5
5,20,2.3,1.0,2.2,0.9
6,25,2.3,1.3,2.2,1.3
7,30,2.3,1.4,2.2,1.6
8,35,2.1,1.5,2.1,1.6
9,40,1.9,1.4,2.0,1.4
10,45,1.9,1.1,1.9,1.1
11,50,2.1,1.0,2.1,1.1
12,55,1.8,1.0,1.9,1.0
13,60,1.8,0.9,1.9,1.0
14,65,1.6,0.8,1.7,0.9
15,70,1.3,0.7,1.5,0.8
16,75,1.0,0.7,1.1,0.7
17,80,0.6,0.4,0.7,0.4
18,85,0.3,0.2,0.5,0.3
19,90,0.1,0.1,0.2,0.1
20,95,0.0,0.0,0.1,0.0